time_s,pga_gal,mmi,category,vibration_detected
1.99,0.0,I,Instrumental,0
2.11,74.9,VII,Very Strong,1
2.22,4.64,III,Weak,0
2.33,12.88,V,Moderate,1
2.44,24.37,V,Moderate,1
2.55,3.44,III,Weak,0
2.66,12.52,V,Moderate,1
2.76,29.18,VI,Strong,1
2.88,11.25,V,Moderate,1
2.99,23.66,V,Moderate,1
3.1,12.95,V,Moderate,1
3.21,5.22,IV,Light,1
3.32,22.44,V,Moderate,1
3.44,20.56,V,Moderate,1
3.55,7.56,IV,Light,1
3.66,10.07,V,Moderate,1
3.77,7.33,IV,Light,1
3.88,30.92,VI,Strong,1
3.99,16.67,V,Moderate,1
4.11,25.59,VI,Strong,1
4.22,24.52,V,Moderate,1
4.33,11.91,V,Moderate,1
4.44,20.18,V,Moderate,1
4.55,18.43,V,Moderate,1
4.66,22.33,V,Moderate,1
4.77,0.0,I,Instrumental,0
4.89,10.63,V,Moderate,1
4.99,3.57,III,Weak,0
5.1,6.02,IV,Light,1
5.21,19.97,V,Moderate,1
5.32,2.46,III,Weak,0
2.76,0.0,I,Instrumental,0
2.88,8.37,IV,Light,1
2.99,3.51,III,Weak,0
3.1,3.02,III,Weak,0
3.21,1.21,II,Very Weak,0
3.32,1.68,II,Very Weak,0
3.42,1.0,II,Very Weak,0
3.54,0.54,I,Instrumental,0
3.65,1.3,II,Very Weak,0
3.76,1.23,II,Very Weak,0
3.88,17.61,V,Moderate,1
4.0,17.19,V,Moderate,1
4.13,0.79,I,Instrumental,0
4.25,2.47,III,Weak,0
4.37,3.61,III,Weak,0
4.48,1.59,II,Very Weak,0
4.6,4.3,III,Weak,0
4.71,6.15,IV,Light,1
4.82,4.54,III,Weak,0
4.94,26.04,VI,Strong,1
5.05,31.84,VI,Strong,1
5.16,12.29,V,Moderate,1
5.27,17.8,V,Moderate,1
5.38,24.73,V,Moderate,1
5.5,50.63,VII,Very Strong,1
5.61,53.61,VII,Very Strong,1
5.72,63.82,VII,Very Strong,1
5.83,23.26,V,Moderate,1
5.95,2.92,III,Weak,0
6.07,47.66,VI,Strong,1
6.18,1.83,II,Very Weak,0
6.29,12.99,V,Moderate,1
6.41,11.67,V,Moderate,1
6.52,29.52,VI,Strong,1
6.63,39.04,VI,Strong,1
6.75,96.71,VII,Very Strong,1
6.86,89.74,VII,Very Strong,1
6.97,10.85,V,Moderate,1
7.08,35.59,VI,Strong,1
7.2,2.25,III,Weak,0
7.31,26.71,VI,Strong,1
7.42,20.26,V,Moderate,1
7.53,6.02,IV,Light,1
7.64,20.54,V,Moderate,1
7.76,18.7,V,Moderate,1
7.86,87.79,VII,Very Strong,1
7.97,59.16,VII,Very Strong,1
8.08,41.65,VI,Strong,1
8.19,33.24,VI,Strong,1
8.29,23.13,V,Moderate,1
8.4,14.33,V,Moderate,1
8.51,6.83,IV,Light,1
8.62,9.98,IV,Light,1
8.73,11.7,V,Moderate,1
8.84,24.94,V,Moderate,1
8.95,26.99,VI,Strong,1
9.07,34.48,VI,Strong,1
9.18,18.46,V,Moderate,1
9.31,10.36,V,Moderate,1
9.43,9.18,IV,Light,1
9.54,4.37,III,Weak,0
9.65,9.52,IV,Light,1
9.77,0.09,I,Instrumental,0
9.88,0.48,I,Instrumental,0
10.0,14.88,V,Moderate,1
10.11,16.19,V,Moderate,1
10.22,4.88,III,Weak,0
10.33,20.49,V,Moderate,1
10.44,3.6,III,Weak,0
10.55,16.26,V,Moderate,1
10.67,8.47,IV,Light,1
10.78,7.87,IV,Light,1
10.89,4.2,III,Weak,0
11.01,5.79,IV,Light,1
11.13,12.06,V,Moderate,1
11.25,22.31,V,Moderate,1
11.36,7.7,IV,Light,1
11.46,33.92,VI,Strong,1
11.58,9.99,IV,Light,1
11.69,43.85,VI,Strong,1
11.8,15.03,V,Moderate,1
11.92,67.13,VII,Very Strong,1
12.03,5.81,IV,Light,1
12.14,7.38,IV,Light,1
12.26,23.97,V,Moderate,1
12.37,23.54,V,Moderate,1
12.48,23.27,V,Moderate,1
12.59,1.76,II,Very Weak,0
12.7,4.51,III,Weak,0
12.82,46.36,VI,Strong,1
12.93,7.28,IV,Light,1
13.04,67.81,VII,Very Strong,1
13.16,14.93,V,Moderate,1
13.26,12.33,V,Moderate,1
13.38,38.9,VI,Strong,1
13.49,26.86,VI,Strong,1
137.36,3.02,III,Weak,0
137.48,6.04,IV,Light,1
137.59,12.3,V,Moderate,1
137.7,11.47,V,Moderate,1
137.82,0.76,I,Instrumental,0
137.93,1.65,II,Very Weak,0
138.04,23.32,V,Moderate,1
138.15,5.82,IV,Light,1
138.26,2.98,III,Weak,0
138.37,15.58,V,Moderate,1
138.55,7.08,IV,Light,1
138.67,14.96,V,Moderate,1
138.79,11.99,V,Moderate,1
138.9,16.85,V,Moderate,1
139.01,42.28,VI,Strong,1
139.13,44.46,VI,Strong,1
139.25,4.38,III,Weak,0
139.37,57.42,VII,Very Strong,1
139.48,31.14,VI,Strong,1
139.59,1.4,II,Very Weak,0
139.71,0.08,I,Instrumental,0
139.82,8.56,IV,Light,1
139.92,22.75,V,Moderate,1
140.04,14.54,V,Moderate,1
140.16,13.09,V,Moderate,1
140.27,73.23,VII,Very Strong,1
140.39,27.02,VI,Strong,1
140.5,71.64,VII,Very Strong,1
140.62,21.2,V,Moderate,1
140.73,9.68,IV,Light,1
140.84,12.03,V,Moderate,1
140.96,18.98,V,Moderate,1
141.07,24.1,V,Moderate,1
141.18,48.9,VI,Strong,1
141.29,29.67,VI,Strong,1
141.41,28.85,VI,Strong,1
141.51,54.18,VII,Very Strong,1
141.63,2.22,III,Weak,0
141.74,31.75,VI,Strong,1
141.85,2.15,III,Weak,0
141.96,23.15,V,Moderate,1
142.08,20.93,V,Moderate,1
142.18,9.54,IV,Light,1
142.3,47.04,VI,Strong,1
142.41,22.66,V,Moderate,1
142.53,3.78,III,Weak,0
142.64,25.66,VI,Strong,1
142.75,22.31,V,Moderate,1
142.86,29.01,VI,Strong,1
142.97,6.29,IV,Light,1
143.09,19.99,V,Moderate,1
143.2,40.22,VI,Strong,1
143.31,24.12,V,Moderate,1
143.42,5.06,IV,Light,1
143.53,2.25,III,Weak,0
143.65,0.5,I,Instrumental,0
143.76,5.84,IV,Light,1
143.87,7.71,IV,Light,1
143.97,4.42,III,Weak,0
144.09,5.22,IV,Light,1
144.2,2.45,III,Weak,0
144.31,12.92,V,Moderate,1
144.42,0.94,I,Instrumental,0
144.54,5.66,IV,Light,1
144.64,1.65,II,Very Weak,0
144.76,11.96,V,Moderate,1
144.87,8.63,IV,Light,1
144.98,1.23,II,Very Weak,0
145.31,22.57,V,Moderate,1
145.42,11.18,V,Moderate,1
145.53,42.04,VI,Strong,1
145.64,21.85,V,Moderate,1
145.76,11.93,V,Moderate,1
145.87,1.42,II,Very Weak,0
145.98,15.95,V,Moderate,1
146.09,29.65,VI,Strong,1
146.2,4.15,III,Weak,0
146.31,17.17,V,Moderate,1
146.42,14.8,V,Moderate,1
146.54,13.22,V,Moderate,1
146.65,55.34,VII,Very Strong,1
146.77,61.53,VII,Very Strong,1
146.89,83.7,VII,Very Strong,1
146.99,10.64,V,Moderate,1
147.12,4.34,III,Weak,0
147.23,11.83,V,Moderate,1
147.34,6.62,IV,Light,1
147.45,9.87,IV,Light,1
147.56,1.68,II,Very Weak,0
147.67,6.37,IV,Light,1
147.79,17.56,V,Moderate,1
147.9,46.63,VI,Strong,1
148.0,100.51,VIII,Severe,1
148.12,1.26,II,Very Weak,0
148.23,12.15,V,Moderate,1
148.34,12.96,V,Moderate,1
148.45,18.3,V,Moderate,1
148.57,31.88,VI,Strong,1
148.67,13.98,V,Moderate,1
